distance,nmer_name,Uind_md,Udf,Unb,Ues,Uind_sapt,ind20_fit,dhf_fit,time_per_system
14.293,2mer-0+233,-0.000147076195625653,6.520015473527501e-05,-0.004633148044992537,-0.004633148044992537,-0.00018666,-0.000147076195625653,8.174491317174895e-07,0.1544460172106506
14.331,2mer-0+259,-8.86360969569795e-05,3.81940915567152e-05,-0.029065761143189754,-0.029065761143189754,-0.00015213,-8.86360969569795e-05,1.8510576670504669e-06,0.1544460172106506
14.348,2mer-0+265,-0.00016512945831379314,6.483984576126333e-05,-0.00012927347603102304,-0.00012927347603102304,-0.0001788,-0.00016512945831379314,2.443905764434286e-07,0.1544460172106506
14.382,2mer-0+285,-0.00015767560497457008,7.930796623761502e-05,-0.03832287732953212,-0.03832287732953212,-0.00018666,-0.00015767560497457008,1.5181376913568884e-06,0.1544460172106506
14.453,2mer-0+284,-0.00013771139435790502,7.133608966625667e-05,-0.044774332770631704,-0.044774332770631704,-0.00017423,-0.00013771139435790502,1.3511577867405838e-06,0.1544460172106506
14.454,2mer-0+162,-0.0003386659239017178,0.0001651906930517128,-0.04098613128658806,-0.04098613128658806,-0.00032853,-0.0003386659239017178,1.5136420256106772e-06,0.1544460172106506
14.483,2mer-0+205,-0.00013000796571382178,4.356970978892979e-05,0.01970644859498284,0.01970644859498284,-0.00019617,-0.00013000796571382178,5.625347200432074e-07,0.1544460172106506
14.629,2mer-0+206,-6.484182774342618e-05,3.2343833243048193e-05,0.008330917375464599,0.008330917375464599,-0.00011076,-6.484182774342618e-05,1.588772696655686e-06,0.1544460172106506
14.675,2mer-0+199,-0.00010405662216485803,4.880587819528809e-05,0.015396311701288986,0.015396311701288986,-0.00015996,-0.00010405662216485803,2.6100147682221274e-06,0.1544460172106506
14.677,2mer-0+215,-8.294036620809815e-05,4.2469317177831304e-05,0.006509309195195334,0.006509309195195334,-0.00013577,-8.294036620809815e-05,1.854941710277923e-06,0.1544460172106506
14.778,2mer-0+290,-0.00011666713257961314,4.541379350151957e-05,0.011244514328997984,0.011244514328997984,-0.00014292,-0.00011666713257961314,2.1360980219297996e-06,0.1544460172106506
14.809,2mer-0+267,-6.213287402123005e-05,3.1191594960650354e-05,0.022787763128547044,0.022787763128547044,-0.00010393,-6.213287402123005e-05,2.4540995199152136e-06,0.1544460172106506
14.846,2mer-0+228,-5.878928212659612e-05,2.9641866460901247e-05,0.006107525302331941,0.006107525302331941,-9.83e-05,-5.878928212659612e-05,1.2055124610314276e-06,0.1544460172106506
14.868,2mer-0+339,-0.0003420268654044496,0.00016003147677923354,0.0734514291940936,0.0734514291940936,-0.00029406,-0.0003420268654044496,1.9845948907632007e-06,0.1544460172106506
14.868,2mer-0+320,-0.0003560904087402172,0.00016906335968640404,0.05644898961661193,0.05644898961661193,-0.0003276,-0.0003560904087402172,1.1962148457519502e-06,0.1544460172106506
14.886,2mer-0+208,-0.00012111052722272836,4.1022730369113016e-05,0.020687918270312456,0.020687918270312456,-0.00018246,-0.00012111052722272836,6.561156420714105e-07,0.1544460172106506
14.96,2mer-0+253,-9.355639987669126e-05,3.156853798648711e-05,0.014060406409771726,0.014060406409771726,-0.00016419,-9.355639987669126e-05,1.012098599324998e-06,0.1544460172106506
15.024,2mer-0+260,-6.110234070303494e-05,2.9126347994440615e-05,0.02427798867595174,0.02427798867595174,-0.0001138,-6.110234070303494e-05,3.4233177087706226e-07,0.1544460172106506
