N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+46,0.16867511,2,0.16867511,-84.59104718,2.803385e-04,11.4530,8.0860,8.086
2mer-0+42,0.09325099,2,0.09325099,-84.49779619,2.794918e-04,11.5610,8.0940,8.094
2mer-0+57,0.17598686,2,0.17598686,-84.32180933,2.606685e-04,11.5380,8.2840,8.284
2mer-0+65,0.27336958,2,0.27336958,-84.04843975,2.590461e-04,10.0100,8.3010,8.301
2mer-0+37,0.14429432,2,0.14429432,-83.90414543,2.571049e-04,11.4530,8.3220,8.322
2mer-0+56,0.12074044,2,0.12074044,-83.78340499,2.530433e-04,12.2420,8.3660,8.366
2mer-0+81,-0.20881236,2,-0.20881236,-83.99221735,2.489459e-04,11.2130,8.4120,8.412
2mer-0+52,-0.10471979,2,-0.10471979,-84.09693714,2.285849e-04,11.2890,8.6550,8.655
2mer-0+62,-0.31767981,2,-0.31767981,-84.41461695,2.216253e-04,10.8960,8.7440,8.744
2mer-0+121,0.73481432,2,0.73481432,-83.67980263,2.146055e-04,11.1900,8.8390,8.839
2mer-0+64,0.09377687,2,0.09377687,-83.58602576,2.034507e-04,12.1940,8.9970,8.997
2mer-0+41,-0.01298169,2,-0.01298169,-83.59900745,2.002481e-04,10.7430,9.0450,9.045
2mer-0+108,-0.10115776,2,-0.10115776,-83.70016521,1.959375e-04,11.8490,9.1110,9.111
2mer-0+83,0.01123154,2,0.01123154,-83.68893367,1.894350e-04,11.8490,9.2140,9.214
2mer-0+69,0.09513752,2,0.09513752,-83.59379615,1.845576e-04,12.8310,9.2940,9.294
2mer-0+93,-0.25384378,2,-0.25384378,-83.84763993,1.824619e-04,10.8800,9.3300,9.330
2mer-0+107,-0.16093337,2,-0.16093337,-84.00857330,1.684903e-04,11.4640,9.5810,9.581
2mer-0+55,0.01995293,2,0.01995293,-83.98862037,1.673767e-04,11.6660,9.6020,9.602
2mer-0+85,0.15839458,2,0.15839458,-83.83022579,1.598911e-04,12.2420,9.7500,9.750
2mer-0+50,0.08001570,2,0.08001570,-83.75021009,1.579390e-04,12.8310,9.7900,9.790
2mer-0+113,0.09313379,2,0.09313379,-83.65707630,1.552511e-04,13.3220,9.8460,9.846
2mer-0+73,-0.26072230,2,-0.26072230,-83.91779860,1.546981e-04,10.8960,9.8580,9.858
2mer-0+100,-0.14941005,2,-0.14941005,-84.06720865,1.425380e-04,13.6120,10.1300,10.130
2mer-0+120,0.11146178,2,0.11146178,-83.95574687,1.391773e-04,14.0100,10.2110,10.211
2mer-0+94,0.05949016,2,0.05949016,-83.89625671,1.380712e-04,14.1440,10.2380,10.238
2mer-0+133,-0.20309133,2,-0.20309133,-84.09934804,1.319581e-04,12.7460,10.3940,10.394
2mer-0+89,-0.24367361,2,-0.24367361,-84.34302165,1.308640e-04,13.3100,10.4230,10.423
2mer-0+139,-0.07882314,2,-0.07882314,-84.42184479,1.272768e-04,12.6640,10.5200,10.520
2mer-0+71,-0.04803669,2,-0.04803669,-84.46988148,1.266890e-04,12.1940,10.5360,10.536
2mer-0+92,0.04017534,2,0.04017534,-84.42970614,1.222736e-04,13.5590,10.6620,10.662
2mer-0+80,0.09170670,2,0.09170670,-84.33799944,1.209609e-04,12.2700,10.7000,10.700
2mer-0+138,0.03708185,2,0.03708185,-84.30091759,1.208315e-04,13.8610,10.7040,10.704
2mer-0+82,-0.06643633,2,-0.06643633,-84.36735392,1.141258e-04,13.3220,10.9100,10.910
2mer-0+123,-0.15102986,2,-0.15102986,-84.51838378,1.131649e-04,13.9240,10.9400,10.940
2mer-0+86,0.06031468,2,0.06031468,-84.45806910,1.093107e-04,14.0620,11.0670,11.067
2mer-0+98,0.02682393,2,0.02682393,-84.43124517,1.086008e-04,14.2360,11.0910,11.091
2mer-0+129,-0.10535875,2,-0.10535875,-84.53660392,1.080780e-04,13.8670,11.1090,11.109
2mer-0+77,0.06359796,2,0.06359796,-84.47300596,1.069183e-04,14.0620,11.1490,11.149
2mer-0+136,-0.08039288,2,-0.08039288,-84.55339884,1.051607e-04,14.7660,11.2110,11.211
2mer-0+96,-0.20556980,2,-0.20556980,-84.75896864,1.047250e-04,13.9240,11.2270,11.227
2mer-0+171,0.03719479,2,0.03719479,-84.72177385,1.042269e-04,13.7370,11.2450,11.245
2mer-0+137,-0.15436761,2,-0.15436761,-84.87614146,9.648926e-05,14.5070,11.5370,11.537
2mer-0+103,-0.01907273,2,-0.01907273,-84.89521419,9.636149e-05,13.8610,11.5430,11.543
2mer-0+187,0.02784283,2,0.02784283,-84.86737136,9.375956e-05,13.8480,11.6480,11.648
2mer-0+213,0.22584224,2,0.22584224,-84.64152912,9.242289e-05,13.7860,11.7040,11.704
2mer-0+102,-0.05600519,2,-0.05600519,-84.69753431,9.161918e-05,14.0100,11.7380,11.738
2mer-0+127,0.00904357,2,0.00904357,-84.68849074,9.058400e-05,15.2070,11.7830,11.783
2mer-0+169,-0.15833079,2,-0.15833079,-84.84682153,9.055719e-05,14.0710,11.7840,11.784
2mer-0+128,-0.01709135,2,-0.01709135,-84.86391288,8.992310e-05,15.1390,11.8120,11.812
2mer-0+140,0.10263111,2,0.10263111,-84.76128177,8.935241e-05,13.5590,11.8370,11.837
