distance,nmer_name,Uind_md,Uind_sapt
17.965,2mer-0+423,-8.777791177913774e-05,-7.588e-05
17.976,2mer-0+466,-7.437326257056444e-05,-6.402e-05
17.996,2mer-0+315,-0.00017139868579533105,-0.0002138
18.024,2mer-0+397,-0.0001989351229304052,-0.00021473
18.062,2mer-0+288,-0.00012416026893409098,-0.0001519
18.083,2mer-0+565,-6.82128201031349e-05,-4.256e-05
18.09,2mer-0+356,-0.00021985717273607783,-0.00026157
18.105,2mer-0+486,-0.00011823005850297666,-0.00010519
18.14,2mer-0+342,-0.00021551144467969434,-0.00024662
18.16,2mer-0+438,-9.981134070044057e-05,-0.00010375
18.166,2mer-0+379,-0.00010691590245723167,-9.327e-05
18.17,2mer-0+549,-0.0002484845423437632,-0.00023672
18.179,2mer-0+361,-7.15688376162185e-05,-7.227e-05
18.204,2mer-0+439,-8.090939410896243e-05,-0.00010265
18.205,2mer-0+358,-0.00011131480385979425,-0.00014167
18.231,2mer-0+473,-7.662223839409636e-05,-5.75e-05
18.268,2mer-0+543,-0.00010487820068228944,-9.514e-05
18.281,2mer-0+389,-0.00011315544571385455,-0.00013422
18.284,2mer-0+344,-0.0001354865967290602,-0.00016955
18.293,2mer-0+310,-0.0001618016094120358,-0.00018356
18.309,2mer-0+327,-0.00019208005120634682,-0.00024267
18.325,2mer-0+311,-0.0001176612314010824,-0.00014802
18.331,2mer-0+432,-5.902617058091488e-05,-8.703e-05
18.34,2mer-0+336,-0.00018933844668374495,-0.0002227
18.369,2mer-0+416,-7.618872761394918e-05,-0.00010058
18.384,2mer-0+312,-0.00010805691256512984,-0.00014595
18.431,2mer-0+362,-0.0002171119792124458,-0.0002672
18.441,2mer-0+474,-0.00017768272218307026,-0.00018683
18.454,2mer-0+428,-9.1360488756147e-05,-0.00011327
18.476,2mer-0+349,-0.000188287545035148,-0.00023809
18.488,2mer-0+401,-8.565681857194584e-05,-7.79e-05
18.503,2mer-0+385,-0.00018549697804059624,-0.00021684
18.509,2mer-0+384,-0.00014678992292980813,-0.00017425
18.534,2mer-0+330,-9.806333120590116e-05,-0.00012472
18.579,2mer-0+467,-8.641262210724423e-05,-8.078e-05
18.58,2mer-0+405,-0.00012443895266978994,-0.00013901
18.614,2mer-0+421,-0.0001331475036216694,-0.0001622
18.676,2mer-0+559,-0.00012537498474459753,-0.00012685
18.745,2mer-0+333,-0.00010667482361040503,-0.0001123
18.761,2mer-0+369,-0.0001627196069013693,-0.00018564
18.767,2mer-0+501,-7.280760980602662e-05,-7.964e-05
18.775,2mer-0+355,-0.00015950302118037724,-0.00019535
18.791,2mer-0+328,-0.00011383777984542974,-0.00013327
18.797,2mer-0+341,-7.036196378715363e-05,-8.71e-05
18.816,2mer-0+442,-6.94151305815812e-05,-9.498e-05
18.825,2mer-0+454,-5.092549160000007e-05,-4.635e-05
18.828,2mer-0+417,-0.0001418660560286812,-0.00018239
18.837,2mer-0+391,-6.343750012378319e-05,-5.759e-05
18.85,2mer-0+531,-5.861915637020316e-05,-7.732e-05
18.926,2mer-0+489,-8.047653485648135e-05,-6.799e-05
18.942,2mer-0+364,-0.00011574756948009928,-0.00013382
19.013,2mer-0+616,-6.230308160859356e-05,-4.298e-05
19.031,2mer-0+492,-8.562642486612282e-05,-6.305e-05
19.042,2mer-0+387,-0.00016610896340553652,-0.0001766
19.063,2mer-0+347,-0.00011457187124598196,-0.00014437
19.103,2mer-0+504,-8.013356631739661e-05,-9.346e-05
19.138,2mer-0+544,-8.262695186440376e-05,-7.316e-05
19.149,2mer-0+676,-0.00016089955822884967,-0.00013148
19.209,2mer-0+458,-8.952749697626526e-05,-0.00010886
19.254,2mer-0+420,-5.881463252677527e-05,-7.19e-05
19.257,2mer-0+436,-0.00010224826080367012,-0.0001205
19.268,2mer-0+456,-0.00011187852638205104,-0.00012007
19.289,2mer-0+451,-7.636735378458417e-05,-8.043e-05
19.307,2mer-0+444,-0.00014391886077122032,-0.00014499
19.318,2mer-0+537,-5.082095734462743e-05,-4.207e-05
19.324,2mer-0+578,-7.376995923655597e-05,-8.897e-05
19.324,2mer-0+491,-0.00016333880104440302,-0.00017081
19.327,2mer-0+579,-6.230769696217681e-05,-6.633e-05
19.335,2mer-0+762,-0.00012572273095209653,-9.513e-05
