distance,nmer_name,Uind_md,Udf,Unb,Uind_omm,Udf_omm,Unb_omm
1.805,3mer-0+3+131,-2404467745805300.0,2609996266724.5005,-2407077742072062.5,-8.294095233531152,10.580952450184668,-55.11934471130371
1.805,3mer-0+3+79,-303361663562.6556,36636656701.37599,-339998320300.8447,-8.486654730201508,10.82062867128775,-56.19139862060547
1.805,3mer-0+3+146,-1.5412024793240612e+16,353215714861413.4,-1.5765240508102054e+16,-8.06023486002664,10.286856814778048,-53.53601264953613
1.805,3mer-0+3+72,-1379723933226.713,98171938769.66092,-1477895872033.4556,-8.32223145001808,10.62837775713524,-56.10512924194336
1.805,3mer-0+3+208,-12488037813.335556,484579590.82165813,-12972617440.773314,-8.341029209799217,10.64390655069883,-55.672492027282715
1.805,3mer-0+3+142,-2661154552978.8447,51265089505.01704,-2712419642519.5947,-8.120471485717417,10.362366191284536,-54.28938150405884
1.805,3mer-0+3+123,-1553025562043.1526,165507311394.72955,-1718532873474.0562,-8.181184137819173,10.441209470274089,-54.86818313598633
1.805,3mer-0+3+216,-8.622831149714774e+16,7647874082379928.0,-9.38761855795276e+16,-8.31264268544237,10.608264335126478,-55.32514190673828
1.805,3mer-0+3+370,-2.1349539076869072e+17,7791844007490182.0,-2.212872347761804e+17,-8.328955514729842,10.6302405759684,-55.7877254486084
1.805,3mer-0+3+436,-8048454899.101554,29631832.95591833,-8078086768.5245495,-8.254717418943983,10.53471319934215,-55.327494621276855
1.805,3mer-0+3+97,-2287889130884.5366,459520529341.89435,-2747409660263.2603,-8.315350550984022,10.61177824082506,-55.82773017883301
1.805,3mer-0+3+210,-1150183170469106.0,36648033883700.12,-1186831204352842.5,-8.208799826834138,10.475849640634124,-55.151058197021484
1.805,3mer-0+3+415,-26372635495.699936,3731391369.601241,-30104026901.805676,-8.27862161738176,10.565395411426834,-55.41990375518799
1.805,3mer-0+3+204,-29861869390.489532,5380147903.509961,-35242017329.67719,-8.143128566079668,10.389338322348067,-54.280898094177246
1.805,3mer-0+3+77,-96456773791.03835,4499547389.000954,-100956321215.4557,-8.008419324883562,10.222186754218,-53.71743059158325
1.805,3mer-0+3+394,-296090741865009.4,9693319186936.912,-305784061051982.44,-8.230627229080255,10.503842899932806,-55.15257549285889
1.805,3mer-0+3+293,-13581115150.033094,24638048.801117744,-13605753236.132195,-8.409233536874353,10.731437239492834,-56.510393142700195
1.805,3mer-0+3+476,-1.990359096899969e+17,259151855186122.53,-1.9929506154518262e+17,-8.297330471851183,10.589121010921644,-55.60101294517517
1.805,3mer-0+3+595,-2.672905933775677e+18,917897394610515.8,-2.673823831170287e+18,-8.214055348568309,10.482244442767751,-54.98579454421997
1.805,3mer-0+3+104,-1469460256973.4043,350067263827.77167,-1819527520836.8677,-8.038445726000646,10.259712919629237,-54.05997085571289
1.805,3mer-0+3+199,-13463311827.869404,183204906.3882048,-13646516770.374851,-8.196526153530158,10.460463659320794,-54.84506058692932
1.805,3mer-0+3+572,-196190307915.3413,71709413527.06454,-267899721478.91373,-8.280024971432795,10.566509280733953,-55.425698041915894
1.805,3mer-0+3+519,-6478727553.851265,1835983263.8458447,-8314710854.268209,-8.28530370798444,10.57311857137347,-55.50084710121155
1.805,3mer-0+3+363,-1790358161363.0828,103497221784.558,-1893855383183.9475,-8.258495976789163,10.538263151781393,-55.171924114227295
1.805,3mer-0+3+428,-1190952511056.7815,83076242646.14288,-1274028753739.3704,-8.255051176842699,10.534361321631422,-55.30527591705322
1.805,3mer-0+3+309,-807102947035.4791,516400717.2680159,-807619347789.1506,-8.21721410448481,10.487493994880424,-55.18034076690674
1.805,3mer-0+3+547,-58788464591.80941,615401316.3773094,-59403865944.81749,-8.26941630871761,10.55339100329411,-55.52501106262207
1.805,3mer-0+3+255,-105005284234945.2,1162668916264.6372,-106167953151246.08,-8.20571853414367,10.472136003820196,-54.99799728393555
1.805,3mer-0+3+163,-146068444522.0222,16770900545.670746,-162839345104.32547,-8.267134232651642,10.550548510420867,-55.521399974823
1.805,3mer-0+3+119,-4022461321.199146,1329432811.4302788,-5351894169.880751,-8.405631146993755,10.727499880227924,-56.45709466934204
1.805,3mer-0+3+121,-175977376260.4676,22916617188.05896,-198893993484.63483,-8.283183920715828,10.566165101195793,-55.02799034118652
1.805,3mer-0+3+689,-853036491009.9216,126595365048.11412,-979631856094.3616,-8.225589152057864,10.4973048012655,-55.118940114974976
1.805,3mer-0+3+417,-4076802511866.759,68836809796.6168,-4145639321699.8677,-8.257776076138953,10.539182847200891,-55.357421875
1.805,3mer-0+3+315,-1620735957.793745,15073976.689396618,-1635809971.0344625,-8.282583051766323,10.570372766409946,-55.47570991516113
1.805,3mer-0+3+92,-738142000160959.4,9693657935085.973,-747835658096083.1,-8.364046972472806,10.674862939636569,-56.05276703834534
1.805,3mer-0+3+96,-22926036467.450966,3090290709.077372,-26016327213.38914,-8.332950122062812,10.634322636421075,-55.89987134933472
1.805,3mer-0+3+359,-4594773599264496.0,61165590765588.58,-4655939190030118.0,-8.282789066321811,10.570138141624966,-55.53578972816467
1.805,3mer-0+3+155,-27883354159472.453,8658466628547.98,-36541820788055.76,-8.037400477986239,10.257803684611417,-53.682777404785156
1.805,3mer-0+3+195,-1.166919380987558e+18,33009613834172.57,-1.1669523906013908e+18,-8.190125358668638,10.45152722540729,-54.802565574645996
1.805,3mer-0+3+74,-6608519204.179788,32572643.82229466,-6641091885.207429,-8.458570438052902,10.795738262508621,-56.53246784210205
1.805,3mer-0+3+284,-30654236467922.797,3770178167667.8374,-34424414635626.625,-8.144386126748032,10.39418236995607,-54.61253547668457
1.805,3mer-0+3+275,-1196086730096551.0,92036855045878.16,-1288123585142467.5,-8.326137982429827,10.625316418586408,-55.812418699264526
1.805,3mer-0+3+154,-5.347552722590344e+18,94939750253015.39,-5.347647662340591e+18,-8.27471357106424,10.559871618755096,-55.328545570373535
1.805,3mer-0+3+249,-2246999477821.666,17790746381.595615,-2264790224239.6167,-8.231541905717904,10.504399504346793,-55.16221809387207
1.805,3mer-0+3+462,-5.347420882338847e+18,226780001749864.88,-5.347647662340591e+18,-8.215055013346728,10.483182167363111,-54.991307735443115
1.805,3mer-0+3+188,-671794049368.3549,17334063996.654644,-689128113401.2572,-8.257174652179401,10.53855117026933,-55.114670753479004
1.805,3mer-0+3+566,-2.3674672513762217e+18,2.4073487166054876e+16,-2.3915407385422746e+18,-8.264745342455399,10.547595393933761,-55.29367160797119
1.805,3mer-0+3+60,-47802169449.25221,5169737329.678627,-52971906818.28858,-8.75325539432788,11.177423926961183,-59.3609619140625
1.805,3mer-0+3+265,-140643466770.11392,3366484397.665361,-144009951203.89606,-8.184085748174766,10.444227554819008,-54.8165009021759
1.805,3mer-0+3+219,-122380178627066.4,3984290824171.3413,-126364469451273.64,-8.205266623595662,10.469786019226603,-54.649871826171875
1.805,3mer-0+3+373,-23436241072.168987,1852890477.2445006,-25289131585.646496,-8.202116502592617,10.46727799051041,-54.97363567352295
1.805,3mer-0+3+122,-507756155764253.1,128776461825761.4,-636532617590050.6,-8.256781854017618,10.538291655198691,-55.44289302825928
1.805,3mer-0+3+276,-1094708471229.357,4284610208.617256,-1098993081474.69,-8.314113563352294,10.61054139728003,-55.71150231361389
1.805,3mer-0+3+239,-64867104735.10464,28292638475.44994,-93159743246.93152,-8.234607751576505,10.509530012400546,-55.1923131942749
1.805,3mer-0+3+166,-49372783702940.97,2083536800155.9688,-51456320503133.11,-8.140766506012369,10.390758152190756,-54.72731065750122
1.805,3mer-0+3+117,-6.626448836423636e+17,649174832643929.0,-6.632940584750068e+17,-8.295398684281508,10.584995297652085,-55.70199966430664
1.805,3mer-0+3+295,-280672825833.2232,2177952105.049857,-282850777974.9079,-8.296429045446985,10.588628403893836,-55.59179401397705
1.805,3mer-0+3+328,-663291636513.1372,22618337657.708458,-685909974206.9324,-8.172815635065263,10.429841683049972,-54.76005554199219
1.805,3mer-0+3+99,-16134984369.718071,114725660.94391437,-16249710067.78432,-8.41705564737049,10.744045217039911,-56.35589551925659
