molecule,static_model,drude_model,energy_type,distance_range,mae,rmse,r2,max_error,n_points
pyrazole,ESP,2013JPC,induction,short,1.58094818872351,3.3205170741586367,,9.245751245462776,15
pyrazole,ESP,2013JPC,induction,medium,0.0015777800834672851,0.0032735738180240457,,0.015903009240711502,54
pyrazole,ESP,2013JPC,induction,long,0.0001547508160606162,0.00016463068552297858,,0.0003861471846608993,356
pyrazole,ESP,2013JPC,electrostatics,all,0.17847805602626918,1.631879570833213,,24.13890045151556,425
pyrazole,ESP,2013JPC,electrostatics,short,4.648192715249148,8.68459269608285,,24.13890045151556,15
pyrazole,ESP,2013JPC,electrostatics,medium,0.05821166795771154,0.0865538097473551,,0.3485707111860572,54
pyrazole,ESP,2013JPC,electrostatics,long,0.008390036552558253,0.012009830224077594,,0.08233612521211647,356
pyrazole,RESP,2013JPC,induction,all,0.05034123665140883,0.5592426007982105,,8.348297808037346,425
pyrazole,RESP,2013JPC,induction,short,1.4190512976301177,2.9767944360091896,,8.348297808037346,15
pyrazole,RESP,2013JPC,induction,medium,0.0008335757269205769,0.0015659252461224934,,0.008485876206894755,54
pyrazole,RESP,2013JPC,induction,long,0.0001804579301777423,0.00018853587982748326,,0.0003773453025374316,356
pyrazole,RESP,2013JPC,electrostatics,all,0.15810350997817763,1.295064698978911,,18.81950435605161,425
pyrazole,RESP,2013JPC,electrostatics,short,3.9757701237963223,6.8913253180591845,,18.81950435605161,15
pyrazole,RESP,2013JPC,electrostatics,medium,0.06258429058676118,0.08027849800501109,,0.1952783319988276,54
pyrazole,RESP,2013JPC,electrostatics,long,0.01173564098903245,0.017039624932430286,,0.08090777589162815,356
pyrazole,MPFIT,2013JPC,induction,all,0.060260650027333613,0.6756049114549847,,9.99973805134635,425
pyrazole,MPFIT,2013JPC,induction,short,1.6977230186901773,3.596177272758309,,9.99973805134635,15
pyrazole,MPFIT,2013JPC,induction,medium,0.001553975173683764,0.002954459088003757,,0.012263606399704037,54
pyrazole,MPFIT,2013JPC,induction,long,0.0001713941625988843,0.00018700103343591005,,0.0008860157930196139,356
pyrazole,MPFIT,2013JPC,electrostatics,all,0.2151563619184558,1.9392735531290357,,28.611526397008685,425
pyrazole,MPFIT,2013JPC,electrostatics,short,5.363347021185429,10.31879098508643,,28.611526397008685,15
pyrazole,MPFIT,2013JPC,electrostatics,medium,0.10169412590085358,0.13495345720189403,,0.34372225931019507,54
pyrazole,MPFIT,2013JPC,electrostatics,long,0.015448780053135467,0.02292703138377274,,0.17055583028721877,356
