N-mer Name,Non-Additive MB Energy (kJ/mol),Num. Rep. (#), N-mer Contribution (kJ/mol),Partial Crys. Lattice Ener. (kJ/mol),Calculation Priority (Arb. Units),Avg COM Separation (A),Avg Monomer Separation (A),Minimum Monomer Separations (A)
2mer-0+463,-0.03838544,1,-0.01919272,-77.53377385,2.910968e-05,21.4330,17.2020,17.202
2mer-0+454,0.02914916,1,0.01457458,-77.51919927,2.907751e-05,19.4420,17.2090,17.209
2mer-0+318,0.00936696,1,0.00468348,-77.51451579,2.898283e-05,20.0240,17.2270,17.227
2mer-0+486,-0.06514754,1,-0.03257377,-77.54708956,2.894024e-05,20.2640,17.2360,17.236
2mer-0+307,-0.05454400,2,-0.05454400,-77.60163356,2.886177e-05,19.5290,17.2510,17.251
2mer-0+254,-0.01619608,2,-0.01619608,-77.61782964,2.872768e-05,19.9810,17.2780,17.278
2mer-0+297,0.03545054,1,0.01772527,-77.60010437,2.866244e-05,17.4750,17.2910,17.291
2mer-0+259,-0.03218276,1,-0.01609138,-77.61619575,2.857133e-05,20.5970,17.3100,17.310
2mer-0+397,0.02791810,2,0.02791810,-77.58827765,2.855718e-05,20.3460,17.3130,17.313
2mer-0+270,0.00420873,1,0.00210436,-77.58617329,2.828778e-05,20.5140,17.3670,17.367
2mer-0+301,0.02138632,2,0.02138632,-77.56478697,2.827214e-05,20.8910,17.3710,17.371
2mer-0+320,0.03519614,2,0.03519614,-77.52959083,2.794772e-05,21.2560,17.4380,17.438
2mer-0+396,0.08051205,1,0.04025603,-77.48933480,2.789906e-05,19.1770,17.4480,17.448
2mer-0+352,-0.00922946,1,-0.00461473,-77.49394953,2.758473e-05,20.1400,17.5140,17.514
2mer-0+591,0.01077837,1,0.00538919,-77.48856035,2.739669e-05,20.6340,17.5540,17.554
2mer-0+446,-0.01959852,1,-0.00979926,-77.49835961,2.737551e-05,20.6830,17.5580,17.558
2mer-0+325,0.04146323,1,0.02073161,-77.47762799,2.735326e-05,21.5650,17.5630,17.563
2mer-0+412,-0.00277913,1,-0.00138956,-77.47901756,2.734857e-05,21.2020,17.5640,17.564
2mer-0+575,0.06163721,1,0.03081860,-77.44819895,2.728141e-05,20.6660,17.5780,17.578
2mer-0+548,-0.05386081,1,-0.02693041,-77.47512936,2.714056e-05,20.4760,17.6090,17.609
2mer-0+300,0.02461396,2,0.02461396,-77.45051540,2.705004e-05,21.4670,17.6280,17.628
2mer-0+540,-0.06999002,1,-0.03499501,-77.48551041,2.699457e-05,21.4170,17.6400,17.640
2mer-0+468,0.02051845,2,0.02051845,-77.46499196,2.685711e-05,20.4350,17.6700,17.670
2mer-0+485,0.06971497,1,0.03485749,-77.43013447,2.682390e-05,19.5750,17.6780,17.678
2mer-0+377,-0.02292023,1,-0.01146011,-77.44159459,2.675333e-05,20.4810,17.6930,17.693
2mer-0+441,0.04410457,1,0.02205229,-77.41954230,2.660137e-05,21.1300,17.7270,17.727
2mer-0+580,0.05554799,1,0.02777399,-77.39176831,2.659703e-05,20.0900,17.7280,17.728
2mer-0+278,-0.02661149,2,-0.02661149,-77.41837980,2.654426e-05,20.6580,17.7400,17.740
2mer-0+309,0.05704905,2,0.05704905,-77.36133075,2.653179e-05,18.4920,17.7420,17.742
2mer-0+314,0.01615606,1,0.00807803,-77.35325272,2.634018e-05,20.9970,17.7850,17.785
2mer-0+363,0.02083886,2,0.02083886,-77.33241386,2.590105e-05,21.3530,17.8850,17.885
2mer-0+552,0.01154545,1,0.00577273,-77.32664113,2.587420e-05,20.8870,17.8910,17.891
2mer-0+392,-0.01131102,2,-0.01131102,-77.33795215,2.579625e-05,20.3190,17.9090,17.909
2mer-0+380,0.03234864,2,0.03234864,-77.30560351,2.567268e-05,20.6580,17.9380,17.938
2mer-0+351,0.02368312,1,0.01184156,-77.29376195,2.553827e-05,21.9860,17.9700,17.970
2mer-0+323,-0.02826946,2,-0.02826946,-77.32203141,2.552767e-05,21.6050,17.9720,17.972
2mer-0+364,-0.02437352,1,-0.01218676,-77.33421817,2.546512e-05,20.5250,17.9870,17.987
2mer-0+494,-0.00887898,1,-0.00443949,-77.33865766,2.546352e-05,21.8010,17.9870,17.987
2mer-0+625,-0.01925718,1,-0.00962859,-77.34828625,2.543863e-05,21.3300,17.9930,17.993
